Weekly U.S. Product Supplied of Kerosene-Type Jet Fuel
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=pet&s=wkjupus2&f=w
09:14:29 GMT-0500 (Central Daylight Time)
Source: U.S. Energy Information Administration
Week of,Weekly U.S. Product Supplied of Kerosene-Type Jet Fuel Thousand Barrels per Day
04/18/2003,1444
04/11/2003,1669
04/4/2003,1462
03/28/2003,1783
03/21/2003,1724
03/14/2003,1415
03/7/2003,1505
02/28/2003,1651
02/21/2003,1319
02/14/2003,1689
02/7/2003,1536
01/31/2003,1368
01/24/2003,1581
01/17/2003,1681
01/10/2003,1731
01/3/2003,1648
12/27/2002,1618
12/20/2002,1839
12/13/2002,1603
12/6/2002,1618
11/29/2002,1783
11/22/2002,1634
11/15/2002,1738
11/8/2002,1549
11/1/2002,1490
10/25/2002,1670
10/18/2002,1574
10/11/2002,1568
10/4/2002,1540
09/27/2002,1795
09/20/2002,1592
09/13/2002,1542
09/6/2002,1478
08/30/2002,1608
08/23/2002,1564
08/16/2002,1703
08/9/2002,1546
08/2/2002,1592
07/26/2002,1724
07/19/2002,1592
07/12/2002,1617
07/5/2002,1605
06/28/2002,1630
06/21/2002,1650
06/14/2002,1540
06/7/2002,1631
05/31/2002,1470
05/24/2002,1524
05/17/2002,1504
05/10/2002,1512
05/3/2002,1515
04/26/2002,1617
04/19/2002,1501
04/12/2002,1748
04/5/2002,1661
03/29/2002,1510
03/22/2002,1568
03/15/2002,1547
03/8/2002,1438
03/1/2002,1429
02/22/2002,1475
02/15/2002,1666
02/8/2002,1592
02/1/2002,1605
01/25/2002,1528
01/18/2002,1539
01/11/2002,1563
01/4/2002,1594
12/28/2001,1451
12/21/2001,1601
12/14/2001,1552
12/7/2001,1554
11/30/2001,1523
11/23/2001,1365
11/16/2001,1342
11/9/2001,1606
11/2/2001,1639
10/26/2001,1602
10/19/2001,1581
10/12/2001,1726
10/5/2001,1513
09/28/2001,1479
09/21/2001,1246
09/14/2001,1408
09/7/2001,1805
08/31/2001,1587
08/24/2001,1671
08/17/2001,1768
08/10/2001,1774
08/3/2001,1728
07/27/2001,1876
07/20/2001,1723
07/13/2001,1763
07/6/2001,1692
06/29/2001,1889
06/22/2001,1657
06/15/2001,1498
06/8/2001,1685
06/1/2001,1680
05/25/2001,1856
05/18/2001,1650
05/11/2001,1786
05/4/2001,1785
04/27/2001,1733
04/20/2001,1509
04/13/2001,1630
04/6/2001,1564
03/30/2001,1702
03/23/2001,1804
03/16/2001,1860
03/9/2001,1769
03/2/2001,1691
02/23/2001,1767
02/16/2001,1718
02/9/2001,1700
02/2/2001,1669
01/26/2001,1826
01/19/2001,1603
01/12/2001,1515
01/5/2001,1847
12/29/2000,1888
12/22/2000,1719
12/15/2000,1633
12/8/2000,1572
12/1/2000,1742
11/24/2000,1569
11/17/2000,1834
11/10/2000,1888
11/3/2000,1531
10/27/2000,1889
10/20/2000,1964
10/13/2000,1617
10/6/2000,1820
09/29/2000,1850
09/22/2000,1741
09/15/2000,1741
09/8/2000,1700
09/1/2000,1684
08/25/2000,1839
08/18/2000,1756
08/11/2000,1794
08/4/2000,1723
07/28/2000,1697
07/21/2000,1760
07/14/2000,1680
07/7/2000,1657
06/30/2000,1694
06/23/2000,1548
06/16/2000,1600
06/9/2000,1582
06/2/2000,1783
05/26/2000,1646
05/19/2000,1794
05/12/2000,1613
05/5/2000,1727
04/28/2000,1607
04/21/2000,1728
04/14/2000,1529
04/7/2000,1786
03/31/2000,1687
03/24/2000,1629
03/17/2000,1700
03/10/2000,1593
03/3/2000,1826
