PASSENGERS,FREIGHT,MAIL,CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_FIPS,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_FIPS,YEAR,QUARTER,MONTH
10220,0,0,American Airlines Inc.,ALB,"Albany, NY",NY,36,36001,CLT,"Charlotte, NC",NC,37,37119,2020,1,1
11107,0,0,American Airlines Inc.,ALB,"Albany, NY",NY,36,36001,CLT,"Charlotte, NC",NC,37,37119,2020,1,2
13732,4191,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,BWI,"Baltimore, MD",MD,24,24510,2020,1,2
15334,5660,0,Southwest Airlines Co.,ALB,"Albany, NY",NY,36,36001,BWI,"Baltimore, MD",MD,24,24510,2020,1,1
0,0,0,United Air Lines Inc.,ABQ,"Albuquerque, NM",NM,35,35001,DEN,"Denver, CO",CO,8,8031,2020,1,3
0,0,0,United Air Lines Inc.,ABQ,"Albuquerque, NM",NM,35,35001,ANC,"Anchorage, AK",AK,2,2020,2020,1,3
0,0,0,United Air Lines Inc.,ABQ,"Albuquerque, NM",NM,35,35001,ORD,"Chicago, IL",IL,17,17031,2020,1,3
0,0,0,United Air Lines Inc.,ABQ,"Albuquerque, NM",NM,35,35001,PHL,"Philadelphia, PA",PA,42,42101,2020,1,3
0,455,0,Southwest Airlines Co.,ABQ,"Albuquerque, NM",NM,35,35001,SJU,"San Juan, PR",PR,72,#N/A,2020,1,1
0,0,0,United Air Lines Inc.,ABQ,"Albuquerque, NM",NM,35,35001,ORD,"Chicago, IL",IL,17,17031,2020,2,4
0,183,0,Southwest Airlines Co.,ABQ,"Albuquerque, NM",NM,35,35001,BNA,"Nashville, TN",TN,47,47037,2020,2,5
1,0,0,Southwest Airlines Co.,ABQ,"Albuquerque, NM",NM,35,35001,CLE,"Cleveland, OH",OH,39,39035,2020,1,3
1,15,0,Southwest Airlines Co.,ABQ,"Albuquerque, NM",NM,35,35001,LBB,"Lubbock, TX",TX,48,#N/A,2020,1,3
1,0,0,Southwest Airlines Co.,ABQ,"Albuquerque, NM",NM,35,35001,BUF,"Buffalo, NY",NY,36,36029,2020,1,1
1,364,0,Southwest Airlines Co.,ABQ,"Albuquerque, NM",NM,35,35001,SEA,"Seattle, WA",WA,53,53033,2020,2,5
1,0,0,Southwest Airlines Co.,ABQ,"Albuquerque, NM",NM,35,35001,OKC,"Oklahoma City, OK",OK,40,40109,2020,2,6
1,0,0,Southwest Airlines Co.,ABQ,"Albuquerque, NM",NM,35,35001,OMA,"Omaha, NE",NE,31,31055,2020,1,2
1,0,0,Southwest Airlines Co.,ABQ,"Albuquerque, NM",NM,35,35001,TUL,"Tulsa, OK",OK,40,40143,2020,2,4
1,0,0,Southwest Airlines Co.,ABQ,"Albuquerque, NM",NM,35,35001,BUR,"Burbank, CA",CA,6,6037,2020,2,4
1,0,0,Southwest Airlines Co.,ABQ,"Albuquerque, NM",NM,35,35001,SDF,"Louisville, KY",KY,21,21111,2020,2,4
1,0,0,Southwest Airlines Co.,ABQ,"Albuquerque, NM",NM,35,35001,OKC,"Oklahoma City, OK",OK,40,40109,2020,2,4
1,0,0,Southwest Airlines Co.,ABQ,"Albuquerque, NM",NM,35,35001,LIT,"Little Rock, AR",AR,5,5119,2020,2,4
2,0,0,Southwest Airlines Co.,ABQ,"Albuquerque, NM",NM,35,35001,TPA,"Tampa, FL",FL,12,12057,2020,1,2
2,0,0,Southwest Airlines Co.,ABQ,"Albuquerque, NM",NM,35,35001,TUS,"Tucson, AZ",AZ,4,4019,2020,1,2
2,0,0,Southwest Airlines Co.,ABQ,"Albuquerque, NM",NM,35,35001,STL,"Saint Louis, MO",MO,29,29510,2020,1,3
2,32,0,Southwest Airlines Co.,ABQ,"Albuquerque, NM",NM,35,35001,ATL,"Atlanta, GA",GA,13,13121,2020,1,3
2,0,0,Southwest Airlines Co.,ABQ,"Albuquerque, NM",NM,35,35001,BHM,"Birmingham, AL",AL,1,1073,2020,1,1
2,0,0,Southwest Airlines Co.,ABQ,"Albuquerque, NM",NM,35,35001,ATL,"Atlanta, GA",GA,13,13121,2020,1,1
2,303,0,Southwest Airlines Co.,ABQ,"Albuquerque, NM",NM,35,35001,BOS,"Boston, MA",MA,25,25025,2020,1,1
2,0,0,Southwest Airlines Co.,ABQ,"Albuquerque, NM",NM,35,35001,SMF,"Sacramento, CA",CA,6,6067,2020,2,5
2,0,0,Southwest Airlines Co.,ABQ,"Albuquerque, NM",NM,35,35001,DCA,"Washington, DC",VA,51,11001,2020,2,5
2,0,0,Southwest Airlines Co.,ABQ,"Albuquerque, NM",NM,35,35001,BNA,"Nashville, TN",TN,47,47037,2020,2,6
